index,Review,category,sentiment_predicted
0,2시간 넘은 시간이 금방 지나간 느낌으로 정말 재미있었습니다.,story,1
1,1000만명이 나를 속인 느낌,story,1
2,잼있었습니다. 굿씬 정말 대단했습니다. 한번더 보고 싶네요,story,1
3,가볍게 볼생각이었지만 볼수록 전율이 느껴지며 잼있었습니다,story,1
4,엄마랑 봤는데 한번 더 보고 싶을 정도로 재미있었어요~,story,1
5,재밌게 봤어요^^ 현재 남아있는 쇠말뚝 없겠죠???ㅎㅎㅎ,story,1
6,음 연기력은 대박입니다 두번째 내용부터는 음 너무 간거아닙니까,story,1
7,"짜릿한 전반, 다소 건조한 후반",story,0
8,내용에서의 약간으 무서움이 있었지만 음향 소리땜에 몇번 놀랏습니다. 그리고 약간의 소리가 퍼져 들리는 감이 있었어요.,directing,1
9,재밋게잘봤습니다.근데 일제강점기랑 엮이는 스토리는 조금 진부한 느낌이랄까요...그래도 몰랐던 우리나라 장례풍습도 알게되고 좋았습니다.,story,1
10,"두번째 관람입니다. 처음엔 역사 영화인 줄 알고 봤다가 너무 무서워서 덜덜 떨다 나왔는데 두번째 보니 무섭긴 해도 처음만큼 무섭진 않네요. 다시 한번, 일본이 어떤 나라인지 깨닫게 되었습니다. 멋진 영화를 만들어주신 감독님과 제작진, 배우 여러분들께 감사합니다.",actor,1
11,아주 흥미진진하고 연기들 참 대단...,actor,1
12,후반에 알게된 스토리 그리고 약간의 공포와 끝에 유모스러운 독백,story,1
13,진짜 재밌었습니다 ㄹㅇ,story,1
14,"묘지를 파는 장면은 호기심이 생겼고, 분위기가 살짝 무서웠습니다.",directing,0
15,장재현감독님 전작들 재밌게 봤는데 좀 더 집약된 느낌! 재밌었습니다~,story,1
16,장면 하나하나 소름끼치고 긴장감이 돌았어요! 천만을 넘어 2천만까지 가즈아@@!! 친일파 파묘법도 꼭 제정돼서 싹 다 물갈이되길!!,directing,1
17,개봉한지 한참 지났지만 안보면 안될것 같아서 드디어 보고왔네요 지루하지않고 너무 재미나게 봤어요,story,1
18,1000만 영화라고 치면? 별로 그냥 영화로 보면 낫베드 한줄평 : 애국의 삽질,story,0
19,좋았어요 그이상그이하도 아님,story,1
20,파묘 왜 안 봐여 당장 봐여,story,1
21,반전 쩔... 초반에 너무 좋았는데 슬프다 굿할때 어우 연기 최고,actor,1
22,파묘 좋았어요 좋았어요,story,1
23,너무 무서웠지만 배우들 연기에 집중,actor,1
24,기대이상으로 무섭고 재밌었다!!,story,1
25,재미있는데 무서워요!!!,story,1
26,처음부터 끝까지 몰입이됬어요,story,1
27,연기력이최고예요!!,actor,1
28,배우들의 연기와 몰입감이 장난아님,actor,1
29,괜히 1000만 영화가 아니었네요! 재미있었습니다 ㅎ,story,1
30,무섭고 신기하구 대단해요 연기자들은 아무나 하는게 아니구나,actor,1
31,결말부가 민족주의를 유도하는것 같아 그랬지만 험한 것을 잘 살려낸 영화,story,1
32,대박.. 엔딩크레딧 보다가 .. 김민준 와우!,story,1
33,시간가는줄 모르고 넘 재밌게 봤어요,story,1
34,오랜만에 지밌게 봤어요,story,1
35,좋았어요! 좋았어요! 재미있는영화입니다 많이보십시요,story,1
36,몰입이 강렬했습니다. 사무라이는 별개로 ㅎㅎ,story,1
37,몰입감 압도적으로 대박인 영화였어요 실화를 바탕으로 한 장면도 있다고 들어서 더 소오름이 덜덜덜,directing,1
38,재미있었어요~^^역시 인기있는데는 이유가있네요,story,1
39,진짜 너무 재밌네요 다들 연기 잘하고,actor,1
40,정말 멋진 한국 오컬트 영화,story,1
41,1. 이거보고 사바하 찾아봤어요. 대박 재밋어요. 2. 이순신장군잇는 100원짜리 동전이 왜 나오나 햇더니 마지막에 소름 졸잼입니다. 강추해용,story,1
42,배우들 연기력이👍👍,actor,1
43,기대를 안 했지만 그래도 재미도 있고 배우분들이 연기가 좋아서 몰입도 됬습니다! 나름 괜찮은 영화 같아서 좋아요!,actor,1
44,초반은 분위기도 연출도 다 좋았는데 막판에 도깨비부터 급 이상해짐..ㅎ,directing,0
45,토속신앙 부터 일본의 요괴쪽 음양오행까지 다양한 부분들을 잘섞어 만든 오컬트물이네요 긴장감부터 순간순간 들어가는 실소를 내게하는 포인트들 까지 완성도가 지극히 높은 영화라고 생각이 듭니다,story,1
46,긴장감과 배우들의 연기력 내용 모두 좋았어요,story,1
47,멋진 영화 멋진 배우 멋진 감독,actor,1
48,좋은연기자들의 씨너지,actor,0
49,혼이 무섭다고 느꼈지만 다채로운 해석이 있을만큼 흥미로웠다 ..,story,1
50,나름 재밌어요 근데 소리가 너무커서 귀가 아팠어요,story,1
51,잘 봤어요 ~시간가는줄 몰랐어요,story,1
