index,Review,sentiment_predicted,category
0,"70년대 영화의 느낌을 가져와서 훌륭한 영상미와 공포를 자아내는 사운드, 원작 스토리에 충실한 스토리 라인을 보여줬지만, 뭔가 1% 부족한 느낌의 영화…",0,story
1,오멘저주의시작 잘 봤어요,0,story
2,넷플릭스로 보면 딱 적당할듯,1,story
3,심장주위 놀래주위 팝콘주위,0,story
4,Amazingly beautiful 😍 love 💗 your,1,story
5,goodgoodgood,1,story
6,초반이 상당히 재밌었고 후반은 그에 비하면 별로였지만 볼만했습니다. 속편 기대됩니다.,1,story
7,"웰메이드 오컬트 무비, 주인공의 연기력이 압권~",1,actor
8,"6월 6일 6시 사탄의 아이가 태어나고, 믿음이 향하는 곳이 뒤바뀐다!",1,story
9,연기력이 대단합니다 무서워서 다 가리구 봣어여,0,actor
10,주인공 연기 너무 잘해서 몰입도 높았어요!,1,actor
11,징그러워요. ㅜㅜ 끔찍,0,story
12,역시 재밌네요~^^ 기대 이상으로 재밌게 봤네요~ 막 무섭고 그렇지는 않지만.. 적당히 긴장감 감돌고 좋았어요^^,1,story
13,서서히 조여오는 끔찍한 공포가 마침내 정체를 드러내기 시작,0,story
14,흠..재미없진 않은데... 남튼 연기쵝오!! 왕좌의게임 마르셀라 공주가 이렇게 컸구낭!!!,1,actor
15,원투 보고 보면 더 재밌을 것 같아요~~~~,1,story
16,"정말 정신 나간 영화네요. 평이 높아 기대했는데 최악이었어요. 기괴하고 잔인하고 변태적입니다. 영화 보며 미성년자 관람불가인줄 알았으나 15세 영화 더군요. 도대체 무슨 생각으로 15세로 설정하신 건 가요. 사람마다 취향은 다르겠지만 귀신, 엑소시즘 생각하고 보신다면 절대 보지 마세요.",0,story
17,이게 어떻게 15세야 와이프랑 보는데도 민망했다고!!!! 하지만 오멘 시리즈중 제일 좋았습니다. 공포영화는 이렇게 기괴하고 무섭고 기분 더러워야 한다고 봄. 어쭙잖게 사랑 권선징악 신파 없어서 더 좋았음,1,story
18,재미있게 관람은 했는데 무섭지는 않네요,0,story
19,너무 재미있게봤습니다 강추해요,1,story
20,공포영화라고 하기엔 너무 부족하네요 요즘 사람들의 간땡이를 뭘로보고.. 단지 오멘의 시작을 알게 된 것만으로 좋았네요,0,story
21,후속편이 기대 되는 깔끔한 마무리. 하지만 너무 잔인한 장면은 조금만 해주길 .. 넘. 무섭네요.,0,directing
22,재밌었습니다~데미안의 탄생 이랬었구나~했고 깜놀장면들 가끔있었는데 많이 무섭진 않았네요! 영화관에서 두명이서 봤는데 조용하니 잘봤습니당~,1,directing
23,무서웠습니더 ㅜㅜㅋㅋㅜㅜ ㅋㅋ,1,story
